;Unnamed: 0;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
50;22;BBDC4;Google News + Twitter + IFR + MME;model_2;0.0004103266110178;0.0005153782943205;0.0227019447255205;0.0164115367669369;32.448.567.031.267.800;0.9703094866442388
51;23;ITUB4;Google News + Twitter + IFR + MME;model_2;0.0002296602469868;0.0004090524691542;0.0202250455909062;0.0145918866651557;24.733.742.359.000.600;0.9732276849861228
52;24;PETR4;Google News + Twitter + IFR + MME + MMS;model_2;0.0002032531920121;0.0003088558807186;0.0175742960234154;0.0115716932207267;27.795.278.948.349.800;0.9693934410745502
53;25;VALE3;Google News + Twitter + IFR + MME + MMS;model_2;0.0001437679457012;0.0005745590422046;0.0239699612474574;0.0178300718716123;310.106.580.541.968;0.9845209856094196
54;26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_2;0.000481612078147;0.0005155091603267;0.0227048268067982;0.016435104847463;32.763.091.673.561.100;0.9703019475628588
55;27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_2;0.0002757652837317;0.0004316680696636;0.020776623153526;0.0148502396143042;25.146.554.933.155.500;0.9717475032815178
56;0;PETR4;Stock Data;model_3;0.00067081337329;0.0002795667484093;0.0167202496515254;0.0113330753872688;2.778.411.280.453.540;0.9722958936741708
57;1;VALE3;Stock Data;model_3;0.0002330110146431;0.0014772924122587;0.0384355618179153;0.0275859835399693;3.770.574.801.012.860;0.9602007299011308
58;2;BBDC4;Stock Data;model_3;0.0003613597946241;0.0004741298690523;0.0217745233943798;0.0157416646849292;2.756.103.534.902.800;0.9726857739943764
59;3;ITUB4;Stock Data;model_3;0.0001944372197613;0.0004494341018481;0.0211998608921882;0.0159890674862526;22.773.034.511.752.400;0.970584723819085
60;4;PETR4;Stock Data + Google News;model_3;0.0001769575028447;0.0003163885184216;0.0177873134121373;0.0117931674848642;27.841.223.399.175.900;0.9686469825024052
61;5;VALE3;Stock Data + Google News;model_3;0.0002542599977459;0.0070329296542403;0.0838625640810033;0.0526638500929892;35.001.470.671.362.500;0.8105280548571406
62;6;BBDC4;Stock Data + Google News;model_3;0.0003452401724644;0.0005433490648482;0.0233098490953547;0.0170430654200387;27.512.540.748.448.300;0.9686981139010076
63;7;ITUB4;Stock Data + Google News;model_3;0.0001834041904658;0.0004143944229146;0.0203566800563011;0.0147561265043315;2.255.801.252.325.700;0.9728780563207394
64;8;PETR4;Stock Data + Twitter;model_3;0.0001785528875188;0.0003066021218435;0.0175100577338732;0.0116946170236965;2.774.602.172.991.290;0.9696167808524844
65;9;VALE3;Stock Data + Twitter;model_3;0.0002511080529075;0.0084960871419333;0.0921742216779363;0.0617479344309927;3.416.763.627.012.120;0.7711095893139265
66;10;BBDC4;Stock Data + Twitter;model_3;0.0003673624887596;0.0006239904849651;0.0249798015397476;0.0182959098645141;2.762.139.095.679.510;0.96405242899849
67;11;ITUB4;Stock Data + Twitter;model_3;0.0001964513212442;0.0004459095980972;0.0211165716463928;0.0152550305346873;22.574.629.783.894.600;0.9708154011326372
68;12;PETR4;Stock Data + IFR + MMS + MME;model_3;0.0001737814454827;0.0003028586395573;0.0174028342392083;0.0117126839474139;27.540.485.705.229;0.9699877471132294
69;13;VALE3;Stock Data + IFR + MMS + MME;model_3;0.0002470123872626;0.0003824659085009;0.0195567356299813;0.0143639216520604;3.985.005.942.358.160;0.9896961062889604
70;14;BBDC4;Stock Data + IFR + MMS + MME;model_3;0.0003473163815215;0.0005220696386408;0.0228488432670206;0.0163249240879559;27.390.150.281.420.500;0.9699240038831316
